Emp ID,Office InTime,Office OutTime,Area,Area Lat,Area Long
1,13:00:00,22:00:00,CHANDIVALI,19.1074911,72.9017603
2,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
3,13:00:00,22:00:00,BANDRA (E),19.060516,72.850432
4,13:00:00,22:00:00,BANDRA (E),19.060516,72.850432
6,13:00:00,22:00:00,DAHISAR (E),19.2539332,72.8672448
8,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
9,13:00:00,22:00:00,PRABHADEVI,19.0158466,72.8279973
10,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
11,13:00:00,22:00:00,POWAI,19.1196773,72.9050809
12,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
13,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
14,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
15,13:00:00,22:00:00,MAHIM (W),19.032012,72.8401043
17,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
18,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
19,13:00:00,22:00:00,ANDHERI (W),19.1363246,72.82766
20,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
21,13:00:00,22:00:00,GHATKOPAR (W),19.0908063,72.9076669
22,13:00:00,22:00:00,GHATKOPAR (W),19.0908063,72.9076669
23,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
24,13:00:00,22:00:00,POWAI,19.1196773,72.9050809
25,13:00:00,22:00:00,BORIVALI (W),19.2461644,72.8509056
26,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
27,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
28,13:00:00,22:00:00,MALAD (E),19.1808735,72.8574558
30,13:00:00,22:00:00,KALWA,19.1943854,72.9992013
31,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
32,13:00:00,22:00:00,BHANDUP (E),19.1465032,72.9459841
33,13:00:00,22:00:00,SANTACRUZ (E),19.07937,72.8562596
34,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
35,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
36,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
37,13:00:00,22:00:00,DAHISAR (E),19.2539332,72.8672448
38,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
39,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
40,13:00:00,22:00:00,NOORBAUG,18.962598,72.83767
41,13:00:00,22:00:00,MALAD (W),19.1827551,72.8401539
43,13:00:00,22:00:00,BORIVALI (W),19.2461644,72.8509056
44,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
45,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
46,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
47,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
48,13:00:00,22:00:00,SANTACRUZ (E),19.07937,72.8562596
49,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
50,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
52,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
53,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
54,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
56,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
59,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
60,13:00:00,22:00:00,PRABHADEVI,19.0158466,72.8279973
61,13:00:00,22:00:00,BORIVALI (W),19.2461644,72.8509056
62,13:00:00,22:00:00,DAHISAR (E),19.2539332,72.8672448
63,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
64,13:00:00,22:00:00,BHAYANDAR (E),19.3056009,72.8593755
65,13:00:00,22:00:00,GOREGAON (W),19.1629338,72.839241
66,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
67,13:00:00,22:00:00,KANDIVALI (E),19.20212,72.856186
68,13:00:00,22:00:00,GHATKOPAR (W),19.0908063,72.9076669
69,13:00:00,22:00:00,KALWA,19.1943854,72.9992013
70,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
71,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
72,13:00:00,22:00:00,CHEMBUR,19.0327996,72.8963568
73,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
74,13:00:00,22:00:00,GRANT ROAD,18.9623513,72.8183134
75,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
76,13:00:00,22:00:00,JOGESHWARI (E),19.136976,72.854292
77,13:00:00,22:00:00,NERUL (W),19.0355766,73.0228173
78,13:00:00,22:00:00,GHANSOLI STATION,19.1253629,72.9992013
79,13:00:00,22:00:00,VASHI,19.0770644,72.9989925
81,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
83,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
84,13:00:00,22:00:00,SANTACRUZ (E),19.07937,72.8562596
86,13:00:00,22:00:00,KANDIVALI (E),19.20212,72.856186
87,13:00:00,22:00:00,BORIVALI (W),19.2461644,72.8509056
88,13:00:00,22:00:00,BHAYANDAR (E),19.3056009,72.8593755
90,13:00:00,22:00:00,SANTACRUZ (E),19.07937,72.8562596
91,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
92,13:00:00,22:00:00,ANDHERI (W),19.1363246,72.82766
94,13:00:00,22:00:00,CHEMBUR,19.0327996,72.8963568
96,13:00:00,22:00:00,MALAD (E),19.1808735,72.8574558
97,13:00:00,22:00:00,CHANDIVALI,19.1074911,72.9017603
99,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
100,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
101,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
102,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
103,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
104,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
105,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
106,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
107,13:00:00,22:00:00,BHAYANDAR (E),19.3056009,72.8593755
109,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
110,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
111,13:00:00,22:00:00,SANTACRUZ (E),19.07937,72.8562596
112,13:00:00,22:00:00,SAKINAKA,19.0948958,72.8865248
113,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
114,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
115,13:00:00,22:00:00,GHATKOPAR (W),19.0908063,72.9076669
116,13:00:00,22:00:00,DADAR (E),19.0099129,72.8426858
117,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
118,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
119,13:00:00,22:00:00,BHANDUP (W),19.1509879,72.9315251
120,13:00:00,22:00:00,GHANSOLI STATION,19.1253629,72.9992013
121,13:00:00,22:00:00,GOREGAON (W),19.1629338,72.839241
122,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
123,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
126,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
128,13:00:00,22:00:00,SEAWOODS,19.0094224,73.0198654
129,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
130,13:00:00,22:00:00,POWAI,19.1196773,72.9050809
131,13:00:00,22:00:00,BHAYANDAR (E),19.3056009,72.8593755
132,13:00:00,22:00:00,VIKHROLI (E),19.091182,72.9208636
133,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
134,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
137,13:00:00,22:00:00,BHANDUP (W),19.1509879,72.9315251
138,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
139,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
140,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
141,13:00:00,22:00:00,POWAI,19.1196773,72.9050809
142,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
143,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
144,13:00:00,22:00:00,BHANDUP (W),19.1509879,72.9315251
145,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
146,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
147,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
149,13:00:00,22:00:00,BHANDUP (W),19.1509879,72.9315251
150,13:00:00,22:00:00,MULUND (W),19.1725542,72.942537
152,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
153,13:00:00,22:00:00,DADAR (E),19.0099129,72.8426858
154,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
155,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
158,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
159,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
162,13:00:00,22:00:00,CHEMBUR,19.0327996,72.8963568
163,13:00:00,22:00:00,BORIVALI (E),19.2240612,72.8666469
164,13:00:00,22:00:00,VILE PARLE (E),19.0963781,72.8563994
165,13:00:00,22:00:00,AGRIPADA,18.97643,72.82734
167,13:00:00,22:00:00,MULUND (E),19.1565109,72.9637728
168,13:00:00,22:00:00,MAROL,19.107807,72.879824
169,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
170,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
171,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
172,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
173,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
175,13:00:00,22:00:00,BORIVALI (E),19.2240612,72.8666469
176,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
177,13:00:00,22:00:00,GHANSOLI,19.1253629,72.9992013
178,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
179,13:00:00,22:00:00,MALAD (E),19.1808735,72.8574558
181,13:00:00,22:00:00,DONGRI,18.9597509,72.837815
182,13:00:00,22:00:00,ANDHERI (W),19.1363246,72.82766
183,13:00:00,22:00:00,NAIGAON (E),19.0109822,72.8463784
184,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
185,13:00:00,22:00:00,ANDHERI (W),19.1363246,72.82766
187,13:00:00,22:00:00,VIKHROLI (E),19.091182,72.9208636
188,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
189,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
191,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
192,13:00:00,22:00:00,MALAD (W),19.1827551,72.8401539
193,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
194,13:00:00,22:00:00,CHEMBUR,19.0327996,72.8963568
195,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
196,13:00:00,22:00:00,THANE (E),19.1780429,72.9785353
197,13:00:00,22:00:00,BORIVALI (E),19.2240612,72.8666469
198,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
199,13:00:00,22:00:00,NERUL (W),19.0355766,73.0228173
200,13:00:00,22:00:00,KURLA (W),19.0707532,72.8781322
201,13:00:00,22:00:00,SANPADA,19.0330488,73.0296625
202,13:00:00,22:00:00,AIROLI,19.157935,72.9934762
203,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
205,13:00:00,22:00:00,BYCULLA (E),18.9821993,72.8382547
207,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
208,13:00:00,22:00:00,VASAI (E),19.3942114,72.8633635
210,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
211,13:00:00,22:00:00,SEWREE,18.9985832,72.8547291
213,13:00:00,22:00:00,NERUL (E),19.0355766,73.0228173
214,13:00:00,22:00:00,CHANDIVALI,19.1074911,72.9017603
215,13:00:00,22:00:00,VASAI (W),19.3666371,72.8160976
216,13:00:00,22:00:00,BHULESHWAR,18.9562462,72.8295542
217,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
218,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
219,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
220,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
221,13:00:00,22:00:00,KANDIVALI (W),19.1998211,72.842594
